Date,Open,High,Low,Close,Volume
2004-03-15,342.66,344.39,335.93,335.97,93719421
2004-03-16,336.74,338.67,332.93,336.6,104636132
2004-03-17,337.2,343.35,337.2,342.93,102094814
2004-03-18,343.18,343.49,336.95,337.34,90205793
2004-03-19,339.51,340.22,335.58,336.59,164592799
2004-03-22,333.15,333.41,326.1,328.7,95007664
2004-03-23,328.94,332.2,327.69,328.86,88829599
2004-03-24,329.22,331.27,326.21,328.78,94176910
2004-03-25,331.76,336.13,331.76,336.13,98724796
2004-03-26,337.59,339.37,335.53,337.15,70892993
2004-03-29,338.03,342.39,337.33,342.11,56725641
2004-03-30,342.2,342.2,339.23,341.45,63555601
2004-03-31,342.06,343.7,339.18,340.35,71184879
2004-04-01,341.95,346.23,340.55,346.04,82432700
2004-04-02,346.61,352.73,345.86,352.73,97317228
2004-04-05,354.06,356.61,352.59,356.06,75481270
2004-04-06,356.94,356.94,353.09,353.91,82701852
2004-04-07,353.82,356.04,352.38,352.47,72824377
2004-04-08,354.73,356.89,352.82,353.5,64974017
2004-04-13,355.35,359.82,355.35,358.1,67788754
2004-04-14,354.87,355.13,349.89,353.25,89404433
2004-04-15,352.24,354.98,351.5,352.59,67740450
2004-04-16,351.26,355.62,351.26,355.01,83782980
2004-04-19,354.39,355.6,352.27,354.52,51544741
2004-04-20,356.6,359.24,356.6,357.64,68097200
2004-04-21,354.84,357.1,353.97,354.93,86864139
2004-04-22,356.21,357.78,353.12,357.58,90149467
2004-04-23,359.54,363.14,359.34,361.49,102246423
2004-04-26,362.17,365.48,361.74,363.1,73651996
2004-04-27,363.02,364.81,361.92,363.64,75495646
2004-04-28,363.44,363.44,357.71,357.9,98938903
2004-04-29,356.81,357.44,351.47,353.03,117873596
2004-04-30,351.12,352.89,349.91,351.43,88855871
2004-05-03,349.44,353.56,348.46,353.37,47044619
2004-05-04,352.96,354.36,351.1,352.2,67434098
2004-05-05,350.64,354.94,350.35,354.56,78570456
2004-05-06,353.53,353.7,344.61,345.19,102472374
2004-05-07,344.71,346.23,340.6,343.98,96033655
2004-05-10,343.81,343.81,333.85,334.02,98253130
2004-05-11,335.79,339.5,335.79,339.49,73883352
2004-05-12,339.55,339.74,333.38,333.82,79494793
2004-05-13,334.95,337.99,334.36,337.93,77120540
2004-05-14,337.29,338.34,333.56,336.13,72359287
2004-05-17,335.08,335.08,328.09,331.32,81542002
2004-05-18,332.64,334.9,331.54,334.49,65645187
2004-05-19,336.95,342.32,336.95,341.57,80669491
